Kategori,Spørsmål,Svar
Naturvitenskap,Hva er det absolutte nullpunkt i celsius?,"-273,15°c, rundet av til 273 gir poeng"
"Religion, filosofi og livssyn"," Hvem er kjent for å ha sagt: ""jeg tenker, derfor er jeg?""",(René) Descartes
Språk,Hvilket ord på B brukes om dusj i Danmark?,Brusebad
Geografi,"Jeg skal frem til et land: -Litt større enn Trøndelag
-1,3 millioner innbyggere
-Landegrense til to andre land 
-Nest største by er Tartu
-Myntenheten er Euro
-Man kan ha elektronisk statsbotgerskap uten å bo der
-Mest kjente kunstner er Eduard Wiiralt",Estland
Mat og drikke,"Kveik er noe som ble overlevert fra far til sønn på norske gårder siden vikingtiden, og som har overlevd særlig på Vestlandet helt frem til i dag. Hva er Kveik?",Gjær
Naturvitenskap,Hvilket grunnstoff brukes også som medisin mot depresjon?,Litium
Geografi,"Hva heter den meksikanske delstaten som grenser til California i USA? Jeg kan legge til at hovedstaden er Mexicali, men den mest kjente byen er nok Tijuana.",Baja California
Popkultur,Hvilket år ble Britney Spears født?,1981
Trender og mote,"Hva heter mote som er produsert i individuelle eksemplarer i motehusenes egne atilererer, ofte til enkeltpersoner, i motsetning til å masseproduseres som en kolleksjon?",Haute Couture
,O.B. Er et kjent tampongmerke. Hva står O.B. for?,Ohne Bind
Akademia,Eilert Sundt regnes som grunnleggeren av et fag i Norge. Hvilket fag?,Sosiologi
Historie,"I hvilken stilart ble Ålesund gjenbygget, etter at byen brant ned i 1904?","Jugendstil, godtar også Art Noveau"
Teknologi,"På hvilken norsk øy ligger et romsenter, som har skutt over 1000 raketter og ballonger til atmosfæren og verdensrommet?",Andøya
Kropp og medisin,Hva heter teknologien som gjorde Covid-vaksinene til Pfizer og Moderna mulig?,"mRNA, budbringer-RNA eller messenger RNA"
Geografi,Hvilke stater i USA starter på bokstaven O?,"Ohio, Oklahoma, Orgeon"
Samfunn,Nelson Mandela delte Nobels fredspris i 1993 med en annen mann. Hva het han?,(Frederik Willem) de Klerk
,"Hvor mange master må et skip ha for å bli kalt en ""fullrigger""?",Tre
Samfunn,"Hva er ønsket inflasjon, eller prisvekst, i følge Norges Bank i prosent?",To prosent
Historie,Hvilket år ble byggingen av Berlinmuren påbegynt?,1961
Naturvitenskap,Hva het den danske fysikeren som står bak den moderne forståelsen av atomers oppbygning?,Niels Bohr
Popkultur,"Hva heter skuespilleren som mottok både en Oscar for beste hovedrolle, og en Razzie for dårligste skuespillerprestasjon i 2010?",Sandra Bullock
Naturvitenskap,Hva heter Nordlys på latin?,Aurora Borealis
Naturvitenskap,Hva heter Sørlys på latin? ,Aurora Australis
Geografi,I hvilken kommune ligger Fornebu?,Bærum
Popkultur,Hva heter Hertuginnen av Sussex i England (2023)?,Meghan Markle
Kultur,"I hvilken tegnseserie møter vi blant andre Jokke, Günther, Påsan og Beate?",Pondus
Naturvitenskap,Hva heter prosessen der man varmer opp f.eks. mat eller drikke for å drepe bakterier og andre mikrober?,Pasteurisering
Geografi,"Hvis man flyr i en rett linje østover her fra Oslo Sentrum, hvilken kommune utenfor Oslo kommer man til først? ",Lørenskog
"Religion, filosofi og livssyn",Hva heter grunnleggeren av Scientologikirken?,Ron. L. Hubbard
Historie,Hvilket år kom den første bilen til Norge?,1895
Musikk og scenekunst,"Hvilken symmfoni er ansett som den forbannede symfonien, fordi komponisten gjerne dør under eller rett etter den er skrevet?",Den 9.ende
Kunst og design,"Hvilket amerikansk designerpar var tidlig ute med å bruke glassfiber og plywood, i tillegg til å være filmskapere og arkitekter?","Eames (Ray, Charles)"
Kropp og medisin,Hva heter det nå utdaterte medisinske inngrepet der man skjærer over den hvite substansen i hjernens pannelapper?,"Lobotomi, lobotomering"
,"Hva er det franske uttrykket skapt av filosofen Victor Cousin i 1836, som betyr at kunst kun skal bedømmes ut i fra kunstens egne regler, i stedet for samfunnets tendenser?",L'art pour l'art
Litteratur,Hvilken irsk forfatter fra 1800-tallet har mellomnavnene Fingal O’Flahertie Wills?,Oscar Wilde
,"Hvilken norsk journalist og programleder som ledet blant annet Bokbadet, Sommeråpent og Frokost-TV gikk av med pensjon i 2015?",Anne Grosvold
Musikk og scenekunst,Hvilken norsk godtepastill ble oppkalt etter en operasanger på 1930-tallet?,IFA (Ivar F. Andersen)
Kropp og medisin,"Hvilket gift, som noen injiserer frivillig, ble opprinnelig fremstilt av rotne pølser?",Botulin/Botox
Mat og drikke,"Hva er det mer vanlige ordet å bruke om grønnsaken ""Zuccini""?",Squash
,Det sies at snus ble funnet opp i Sverige for at gruvearbeidere skulle kunne nyte tobakk på jobb. Men hvorfor kunne de ikke røyke?,På grunn av eksplosjons/brannfare
Mat og drikke,Hvor på grisen sitter picnic-skinken?,Skulderen
Teknologi,Etter hvilken Viking er Bluetooth-teknologien oppkalt?,Harald Blåtann
Trender og mote,"Hvem fant opp begrepet «den lille sorte» om kjolen som visstnok, i hvert fall ifølge den personen vi er ute etter, alle kvinner bør ha i skapet?","Coco Chanel, evt Jean Patou"
Film og TV,Hva heter onkelen til Simba i Løvenes konge?,Scar
Mat og drikke,Hvilken delikatesse er byen Kalamata mest kjent for?,"Oliven, Olivenolje"
Geografi,Hvilke 3 land grenser til Luxemburg?,"Tyskland, Belgia, Frankrike"
Film og TV,Fra hvilket land kom Sean Connery?,Skottland
Geografi,Akerselva starter ved et vann er i Oslo. Hvilket vann?,Maridalsvannet
"Religion, filosofi og livssyn","Hvilken av de store verdensreligionene har ingen spesifikk grunnlegger, ikke noe religiøst sentrum eller en sentral hovedorganisasjon?",Hinduismen
Økonomi,Hva kalles finanskrisen som startet med et børskrakk på Wall Street i 1929? Godtar både norsk og engelsk svar og flere varianter.,"The great depression, den store depresjonen, Den store verdenskrisen eller ""de hard trettiåra""."
"Religion, filosofi og livssyn","Muslimer bruker ordet ""Halal"" om ting som er tillatt, men hva heter ting som er forbudt?",Haram
Popkultur,Hvilken amerikansk superstjerne var den norske filosofen Arne Næss gift med?,Diana Ross
Teknologi,"Hva heter den britiske produsenten av støvsugere, hårtørkere, vifter, håndtørkere og lignende, som er kjent for å lage helt nye oppfinnelser på ellers ganske kjedelige produkter?",Dyson
Teknologi,"Get ble kjøpt opp i 2018, og har nå også byttet navn til det samme som oppkjøperen. Hvilket ble de kjøpt av (2023)?",Telia
Geografi,"Hvilken Amerikansk by er oppkalt etter Francis av Assissi, den hellige?",San Fransisco
Musikk og scenekunst,"Bösendorfer, Kawai, Shimmel og Brødrene Hals er alle produsenter av et musikkinstrument. Hvilket instrument?",Piano
